,1Y,2Y,3Y,5Y,10Y
1Y,0.03200697020648207,0.03325917683461209,0.034010655012310494,0.035255281791555064,0.03842695359895964
5Y,0.03927269773560151,0.0400735170644089,0.040070278098053934,0.04109095008812706,0.043628918257410075
10Y,0.04217861521319717,0.043104811280368,0.044085992521357927,0.046237825174604875,0.053432721136646766
